"Index","Root","Dice 1","RR choice 1","Outcome 1","Score 1","Dice 2","RR choice 2","Outcome 2","Score 2",
0,0.0679832,0.0875465,0.130564,0.131705,0.263516,0.0843766,0,0,0,
1,"",0.0492745,0.0655881,0,0,0.193395,0,0,0,
2,"",0.0858677,0.0656702,0.129363,0,0.582668,0.252861,1,1,
3,"","",0,"",0,0,0,0,0,
4,"","",0.0653154,"",0,0,0.502003,0,0,
5,"","",0.128349,"",0.258556,0,1,0,0,
6,"","","","","",0,0,0,0,
7,"","","","","",0,0,0,0,
8,"","","","","",0,0,0,0,
9,"","","","","",0,0,0,"",
10,"","","","","",0,0,0,"",
11,"","","","","",0,0,0,"",
12,"","","","","",0,0,0,"",
13,"","","","","",0,0,0,"",
14,"","","","","",0,0,0,"",
15,"","","","","",0.588245,0,1,"",
16,"","","","","",0.179578,0,0,"",
17,"","","","","",0.087189,0,0,"",
18,"","","","","","",0,"","",
19,"","","","","","",0,"","",
20,"","","","","","",0,"","",
21,"","","","","","",0,"","",
22,"","","","","","",0,"","",
23,"","","","","","",0,"","",
24,"","","","","","",0,"","",
25,"","","","","","",0,"","",
26,"","","","","","",0,"","",
27,"","","","","","",0,"","",
28,"","","","","","",0,"","",
29,"","","","","","",0,"","",
30,"","","","","","",1,"","",
31,"","","","","","",0.491494,"","",
32,"","","","","","",0.247907,"","",
33,"","","","","","",0,"","",
34,"","","","","","",0,"","",
35,"","","","","","",0,"","",
